ds,yhat,yhat_lower,yhat_upper,Producto,cambio,movimiento
2025-07-07,10000.070103213402,9995.049335663409,10005.027278019326,Aguacate Papelillo,709.4818173932617,subió
2025-07-08,9290.597581592303,9285.549790089039,9296.009468876171,Aguacate Papelillo,-709.4725216210991,bajó
2025-07-09,9999.915384782715,9994.935349327656,10004.77339345699,Aguacate Papelillo,709.3178031904117,subió
2025-07-10,10000.16643127887,9995.348995366627,10005.321543563461,Aguacate Papelillo,0.2510464961560501,subió
2025-07-11,9999.011158541376,9993.925464567343,10004.139755146121,Aguacate Papelillo,-1.1552727374946699,bajó
2025-07-12,9999.763405340933,9995.000996689067,10004.92545994894,Aguacate Papelillo,0.752246799556815,subió
2025-07-13,9290.61590094481,9285.404563293172,9295.512287554733,Aguacate Papelillo,-709.1475043961236,bajó
2025-07-14,10000.095581085134,9995.164080233859,10005.19492756459,Aguacate Papelillo,709.4796801403245,subió
2025-07-15,9290.620425520774,9285.913902701588,9295.516085304705,Aguacate Papelillo,-709.4751555643597,bajó
2025-07-16,9999.935180062326,9994.976841734599,10004.756977363792,Aguacate Papelillo,709.3147545415522,subió
2025-07-17,10000.18285013057,9995.200429393019,10005.210419623416,Aguacate Papelillo,0.24767006824367854,subió
2025-07-18,9999.02396270392,9994.302076221145,10004.158587958867,Aguacate Papelillo,-1.1588874266508356,bajó
2025-07-19,9999.77244634219,9994.88319905955,10004.862249597643,Aguacate Papelillo,0.748483638270045,subió
2025-07-20,9290.62111812481,9285.633736750598,9295.803348567499,Aguacate Papelillo,-709.1513282173782,bajó
2025-07-21,10000.096997578605,9994.559654250583,10005.143983172642,Aguacate Papelillo,709.4758794537938,subió
2025-07-22,9290.618142322046,9285.478639672117,9295.764325537659,Aguacate Papelillo,-709.4788552565587,bajó
2025-07-23,9999.929368484794,9995.128024003912,10004.916018684005,Aguacate Papelillo,709.3112261627484,subió
2025-07-24,10000.173742903728,9994.97551460033,10005.48290260706,Aguacate Papelillo,0.24437441893314826,subió
2025-07-25,9999.011844040466,9994.006931333974,10004.00584090755,Aguacate Papelillo,-1.1618988632617402,bajó
2025-07-26,9999.757641264712,9994.800306732292,10004.980085052879,Aguacate Papelillo,0.7457972242464166,subió
2025-07-27,9290.60398142879,9285.574207392792,9295.798501271938,Aguacate Papelillo,-709.1536598359216,bajó
2025-07-28,10000.077902712354,9995.097589456169,10004.879921366824,Aguacate Papelillo,709.473921283563,subió
2025-07-29,9290.597470550922,9285.736267327578,9295.622694420703,Aguacate Papelillo,-709.480432161432,bajó
2025-07-30,9999.907498588014,9994.579334913287,10004.791777909513,Aguacate Papelillo,709.3100280370927,subió
2025-07-31,10000.15104172867,9995.488008247134,10004.935751235154,Aguacate Papelillo,0.2435431406556745,subió
2025-08-01,9998.988658049257,9994.084862417729,10004.233818948518,Aguacate Papelillo,-1.162383679413324,bajó
2025-08-02,9999.734289396216,9994.548281022084,10004.066484525896,Aguacate Papelillo,0.7456313469592715,subió
2025-08-03,9290.58074931242,9285.456762497315,9295.541208371773,Aguacate Papelillo,-709.1535400837965,bajó
2025-08-04,10000.055038368213,9994.903538775192,10005.34266795762,Aguacate Papelillo,709.4742890557936,subió
2025-08-05,9290.575181633032,9285.656979364727,9295.716264995128,Aguacate Papelillo,-709.4798567351809,bajó
2025-08-06,9999.88595114497,9994.960867710808,10004.911265895718,Aguacate Papelillo,709.3107695119379,subió
2025-08-07,10000.130360433868,9995.400357421882,10005.079993049481,Aguacate Papelillo,0.2444092888981686,subió
2025-08-08,9998.968927830836,9993.942822885396,10003.826606559418,Aguacate Papelillo,-1.1614326030321536,bajó
2025-08-09,9999.715558268697,9994.734791739664,10004.656580425155,Aguacate Papelillo,0.7466304378613131,subió
2025-08-10,9290.563032298425,9285.636159031463,9295.674616501483,Aguacate Papelillo,-709.1525259702721,bajó
2025-08-11,10000.03832227959,9995.25176243362,10005.378905253674,Aguacate Papelillo,709.4752899811647,subió
2025-08-12,9290.559430476173,9285.249482096056,9295.814412958704,Aguacate Papelillo,-709.4788918034174,bajó
2025-08-13,9999.871111947732,9994.938144492715,10005.061627042945,Aguacate Papelillo,709.3116814715595,subió
2025-08-14,10000.116369223586,9995.181262723572,10004.759444680758,Aguacate Papelillo,0.24525727585387358,subió
2025-08-15,9998.95571554263,9993.616116269983,10004.182438927111,Aguacate Papelillo,-1.1606536809558747,bajó
2025-08-16,9999.703056333601,9994.66026380266,10004.832116624179,Aguacate Papelillo,0.7473407909710659,subió
2025-08-17,9290.551177741865,9285.662555934441,9295.722646584245,Aguacate Papelillo,-709.151878591736,bajó
2025-08-18,10000.02706210527,9994.82000292662,10004.978911142005,Aguacate Papelillo,709.4758843634045,subió
2025-08-19,9290.548725202654,9285.237397964962,9295.584085637913,Aguacate Papelillo,-709.4783369026154,bajó
2025-08-20,9999.86093817029,9995.095567848894,10004.69519248591,Aguacate Papelillo,709.3122129676358,subió
2025-08-21,10000.106721122273,9994.899856388663,10005.177164829323,Aguacate Papelillo,0.24578295198261912,subió
2025-08-22,9998.94660529261,9994.452120047528,10004.322750092877,Aguacate Papelillo,-1.1601158296634821,bajó
2025-08-23,9999.694513456972,9995.144898781675,10004.637730735874,Aguacate Papelillo,0.7479081643632526,subió
2025-08-24,9290.543247350464,9285.468980809446,9295.839423339798,Aguacate Papelillo,-709.151266106508,bajó
2025-08-25,10000.019802226898,9995.373597022764,10004.980939960304,Aguacate Papelillo,709.4765548764335,subió
2025-08-26,9290.542203231256,9285.368217314513,9295.686891327387,Aguacate Papelillo,-709.4775989956415,bajó
2025-08-27,9999.855226617616,9995.274443675347,10004.445214116398,Aguacate Papelillo,709.3130233863594,subió
2025-08-28,10000.101892841289,9994.987163766562,10005.005960075909,Aguacate Papelillo,0.24666622367294622,subió
2025-08-29,9998.94272837169,9993.943010036272,10003.890539180382,Aguacate Papelillo,-1.1591644695981813,bajó
2025-08-30,9999.691645963117,9994.642811793585,10004.901144761943,Aguacate Papelillo,0.7489175914270163,subió
2025-08-31,9290.54143219287,9285.458640703442,9295.096238492759,Aguacate Papelillo,-709.1502137702482,bajó
2025-09-01,10000.019062289102,9994.656069112416,10004.979604566388,Aguacate Papelillo,709.477630096233,subió
2025-09-02,9290.542537022968,9285.293920266124,9295.937782551877,Aguacate Papelillo,-709.4765252661346,bajó
2025-09-03,9999.856604598654,9994.780702033146,10004.782331799317,Aguacate Papelillo,709.3140675756858,subió
2025-09-04,10000.10425461979,9995.016774110694,10005.227044808744,Aguacate Papelillo,0.2476500211359962,subió
2025-09-05,9998.945980879858,9994.20394516578,10003.677177265268,Aguacate Papelillo,-1.1582737399312464,bajó
